suburb_norm,count
CHINATOWN,57
BURWOOD,34
HURSTVILLE,32
CBD,24
EASTWOOD,22
ASHFIELD,19
KINGSFORD,17
CABRAMATTA,16
CAMPSIE,15
BLACKTOWN,14
BEVERLY HILLS,14
PARRAMATTA,13
CHATSWOOD,12
NEWTOWN,10
ULTIMO,10
HOMEBUSH,10
BANKSTOWN,9
CAMPBELLTOWN,9
"DIXON HOUSE FOOD COURT, CBD",8
AUBURN,8
