suburb_norm,count
CBD,201
SURRY HILLS,87
PARRAMATTA,67
DARLINGHURST,59
NORTH SYDNEY,48
BONDI BEACH,46
PYRMONT,43
ALEXANDRIA,41
NEWTOWN,41
POTTS POINT,38
MARRICKVILLE,37
CHATSWOOD,34
GLEBE,32
CRONULLA,31
REDFERN,31
MANLY,30
MOSMAN,30
PADDINGTON,28
CHINATOWN,28
LEICHHARDT,27
