suburb_norm,count
SURRY HILLS,15
BANKSTOWN,15
PARRAMATTA,14
MERRYLANDS,14
PENRITH,13
BLACKTOWN,13
CBD,12
MANLY,12
DARLINGHURST,11
BONDI BEACH,10
HURSTVILLE,10
CAMDEN,9
CAMPBELLTOWN,9
CASTLE HILL,8
LIVERPOOL,8
COOGEE,7
ENMORE,7
CRONULLA,7
LEICHHARDT,7
CONCORD,7
