suburb_norm,count
CHINATOWN,20
SURRY HILLS,17
CBD,14
PARRAMATTA,13
NEWTOWN,13
RANDWICK,11
DARLINGHURST,10
FAIRFIELD,10
BLACKTOWN,9
CABRAMATTA,8
POTTS POINT,8
CAMDEN,8
CHATSWOOD,7
PYRMONT,7
CARINGBAH,7
KOGARAH,7
PENRITH,7
CROWS NEST,7
SANS SOUCI,7
HORNSBY,7
